skill
Python
Java
C++
C
SQL
MySQL
MongoDB
React
JavaScript
HTML
CSS
Node.js
Express.js
Flask
Django
Git
GitHub
Data Structures
Algorithms
Machine Learning
Deep Learning
TensorFlow
PyTorch
Pandas
NumPy
Power BI
Tableau
AWS
Docker
Linux
